0.41203,15.753
0.72808,2.963
0.63921,4.3165
0.72433,2.907
0.79499,5.3571
0.77996,3.012
0.94582,2.139
1.0771,3.2086
1.1494,3.7838
1.3577,4.955
1.5248,18.018
1.4973,12.903
1.5482,6.6946
1.6673,10.744
1.7368,10.081
1.8241,3.9146
1.866,1.0601
1.8533,3.1034
1.9841,2.3649
2.3422,1.6949
2.8645,3.0508
3.7131,9.3103
2.7571,4.6205
0.17172,62.658
0.31022,61.538
0.26567,64.024
0.27747,78.261
0.28436,70.625
0.287,59.563
0.34569,78.616
0.3897,79.114
0.40447,81.879
0.47992,76.684
0.5493,73.5
0.52384,73
0.55364,71.028
0.61138,75.463
0.62219,66.809
0.67305,84.158
0.70449,81.5
0.69852,78.302
0.72396,82.569
0.79871,86.408
0.82943,75.587
0.89224,67.111
0.58533,64.474
